keyphrase,tfidf_score,tan_suat,so_tu
vệ_sinh lao_động,16.716617760390573,377,2
an_toàn vệ_sinh,16.574234761024748,369,2
an_toàn vệ_sinh lao_động,16.4101613370505,365,3
tai_nạn lao_động,12.513985359890329,268,2
bệnh nghề_nghiệp,11.11111824332061,173,2
sử_dụng lao_động,9.643886643517485,149,2
lao_động bệnh nghề_nghiệp,8.339581494951336,125,3
lao_động bệnh,8.339581494951336,125,2
tai_nạn lao_động bệnh nghề_nghiệp,8.221708784153392,124,4
tai_nạn lao_động bệnh,8.221708784153392,124,3
quy_định chi_tiết,5.351799923891117,30,2
nơi làm_việc,5.2351800197132565,70,2
quy_định pháp_luật,4.914948645625474,44,2
bảo_đảm an_toàn,4.8304706049219375,52,2
lao_động có,4.678363694005732,49,2
bảo_đảm an_toàn vệ_sinh,4.63903570537877,50,3
bảo_hiểm tai_nạn,4.586245382946701,53,2
bảo_đảm an_toàn vệ_sinh lao_động,4.566933983160808,49,4
bảo_hiểm tai_nạn lao_động,4.538858282690433,52,3
lao_động quy_định,4.470106624284678,50,2
chính_phủ quy_định,4.4335923995508795,21,2
chính_phủ quy_định chi_tiết,4.268779322656928,19,3
bảo_hiểm tai_nạn lao_động bệnh,4.166762135361334,48,4
bảo_hiểm tai_nạn lao_động bệnh nghề_nghiệp,4.166762135361334,48,5
có trách_nhiệm,3.782432242821298,51,2
quy_định 1,3.715407986312299,38,2
thương_binh xã_hội,3.709873260506624,40,2
lao_động thương_binh xã_hội,3.709873260506624,40,3
lao_động thương_binh,3.709873260506624,40,2
máy thiết_bị,3.675486916841649,46,2
bộ lao_động thương_binh xã_hội,3.6679627454254136,39,4
bộ lao_động,3.6679627454254136,39,2
bộ lao_động thương_binh,3.6679627454254136,39,3
khả_năng lao_động,3.61871514797833,38,2
bộ_trưởng bộ,3.5784219488518825,32,2
mất an_toàn,3.545246787467852,49,2
sản_xuất kinh_doanh,3.4440772380771674,30,2
suy_giảm khả_năng lao_động,3.412927474112274,35,3
suy_giảm khả_năng,3.412927474112274,35,2
có hại,3.4101242317237803,31,2
huấn_luyện an_toàn vệ_sinh lao_động,3.3283984047379116,29,4
huấn_luyện an_toàn,3.3283984047379116,29,2
huấn_luyện an_toàn vệ_sinh,3.3283984047379116,29,3
yếu_tố có,3.2881739872111977,31,2
gây mất,3.231932822070581,45,2
gây mất an_toàn,3.231932822070581,45,3
thiết_bị vật_tư,3.212112961149601,41,2
máy thiết_bị vật_tư,3.212112961149601,41,3
mất an_toàn vệ_sinh,3.1990672671110203,46,3
lao_động nơi,3.1978116474851297,31,2
yếu_tố có hại,3.1688136432978555,30,3
công_tác an_toàn,3.1367754654093942,29,2
công_tác an_toàn vệ_sinh,3.1367754654093942,29,3
công_tác an_toàn vệ_sinh lao_động,3.1367754654093942,29,4
yếu_tố nguy_hiểm,3.1084233879062597,27,2
xảy ra,3.107735051005328,44,2
điều_tra tai_nạn,3.0885118101040594,41,2
có yêu_cầu,3.0871017327961328,41,2
mất an_toàn vệ_sinh lao_động,3.085702563178183,44,4
đối_với lao_động,3.0580407528914764,25,2
có yêu_cầu nghiêm_ngặt,3.0331411783406312,40,3
yêu_cầu nghiêm_ngặt,3.0331411783406312,40,2
có liên_quan,3.0071227858235403,31,2
gây mất an_toàn vệ_sinh,2.9426517027863985,43,4
gây mất an_toàn vệ_sinh lao_động,2.9426517027863985,43,5
lao_động nơi làm_việc,2.8787863147637505,28,3
sự_cố kỹ_thuật,2.8331766492516426,42,2
lao_động thực_hiện,2.797733514034038,25,2
sự_cố kỹ_thuật gây mất an_toàn,2.7818973099440774,41,5
sự_cố kỹ_thuật gây mất,2.7818973099440774,41,4
kỹ_thuật gây,2.7818973099440774,41,2
kỹ_thuật gây mất an_toàn,2.7818973099440774,41,4
kỹ_thuật gây mất an_toàn vệ_sinh lao_động,2.7818973099440774,41,6
sự_cố kỹ_thuật gây mất an_toàn vệ_sinh,2.7818973099440774,41,6
sự_cố kỹ_thuật gây mất an_toàn vệ_sinh lao_động,2.7818973099440774,41,7
kỹ_thuật gây mất an_toàn vệ_sinh,2.7818973099440774,41,5
kỹ_thuật gây mất,2.7818973099440774,41,3
sự_cố kỹ_thuật gây,2.7818973099440774,41,3
lao_động tai_nạn,2.7720733656019436,25,2
nghiêm_ngặt an_toàn,2.7470671125078034,35,2
có yêu_cầu nghiêm_ngặt an_toàn,2.7470671125078034,35,4
nghiêm_ngặt an_toàn vệ_sinh lao_động,2.7470671125078034,35,4
có yêu_cầu nghiêm_ngặt an_toàn vệ_sinh,2.7470671125078034,35,5
yêu_cầu nghiêm_ngặt an_toàn vệ_sinh,2.7470671125078034,35,4
yêu_cầu nghiêm_ngặt an_toàn,2.7470671125078034,35,3
yêu_cầu nghiêm_ngặt an_toàn vệ_sinh lao_động,2.7470671125078034,35,5
nghiêm_ngặt an_toàn vệ_sinh,2.7470671125078034,35,3
có yêu_cầu nghiêm_ngặt an_toàn vệ_sinh lao_động,2.7470671125078034,35,6
lao_động đối_với,2.745789281118101,25,2
